Isotope data from http://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl
Material     Z     Atomic weight         File handle

h             1      1.00794             z01
h1            1      1.00782503207       z01
d             1      2.0141017778        z01
t             1      3.0160492777        z01
H             1      1.00794             z01
H1            1      1.00782503207       z01
D             1      2.0141017778        z01
T             1      3.0160492777        z01

he            2      4.002602            z02
he3           2      3.0160293191        z02
he4           2      4.00260325415       z02
He            2      4.002602            z02
He3           2      3.0160293191        z02
He4           2      4.00260325415       z02

li            3      6.941               z03
li6           3      6.015122795         z03
li7           3      7.01600455          z03
Li            3      6.941               z03
Li6           3      6.015122795         z03
Li7           3      7.01600455          z03

be            4      9.012182            z04
be9           4      9.0121822           z04
Be            4      9.012182            z04
Be9           4      9.0121822           z04

b             5     10.811               z05
b10           5     10.0129370           z05
b11           5     11.0093054           z05
B             5     10.811               z05
B10           5     10.0129370           z05
B11           5     11.0093054           z05

c             6     12.0107              z06
c12           6     12.0                 z06
c13           6     13.0033548378        z06
c14           6     14.003241989         z06
C             6     12.0107              z06
C12           6     12.0                 z06
C13           6     13.0033548378        z06
C14           6     14.003241989         z06

n             7     14.0067              z07
n14           7     14.0030740048        z07
n15           7     15.0001088982        z07
N             7     14.0067              z07
N14           7     14.0030740048        z07
N15           7     15.0001088982        z07

o             8     15.9994              z08
o16           8     15.99491461956       z08
o17           8     16.99913170          z08
o18           8     17.9991610           z08
O             8     15.9994              z08
O16           8     15.99491461956       z08
O17           8     16.99913170          z08
O18           8     17.9991610           z08

f             9     18.9984032           z09
f19           9     18.99840322          z09
F             9     18.9984032           z09
F19           9     18.99840322          z09

ne           10     20.1797              z10
ne20         10     19.9924401754        z10
ne21         10     20.99384668          z10
ne22         10     21.991385114         z10
Ne           10     20.1797              z10
Ne20         10     19.9924401754        z10
Ne21         10     20.99384668          z10
Ne22         10     21.991385114         z10

na           11     22.98976928          z11
na23         11     22.9897692809        z11
Na           11     22.98976928          z11
Na23         11     22.9897692809        z11

mg           12     24.3050              z12
mg24         12     23.985041700         z12
mg25         12     24.98583692          z12
mg26         12     25.982592929         z12
Mg           12     24.3050              z12
Mg24         12     23.985041700         z12
Mg25         12     24.98583692          z12
Mg26         12     25.982592929         z12

al           13     26.9815386           z13
al27         13     26.98153863          z13
Al           13     26.9815386           z13
Al27         13     26.98153863          z13

si           14     28.0855              z14
si28         14     27.9769265325        z14
si29         14     28.976494700         z14
si30         14     29.97377017          z14
Si           14     28.0855              z14
Si28         14     27.9769265325        z14
Si29         14     28.976494700         z14
Si30         14     29.97377017          z14

p            15     30.973762            z15
p31          15     30.97376163          z15
P            15     30.973762            z15
P31          15     30.97376163          z15

s            16     32.065               z16
s32          16     31.97207100          z16
s33          16     32.97145876          z16
s34          16     33.96786690          z16
s36          16     35.96708076          z16
S            16     32.065               z16
S32          16     31.97207100          z16
S33          16     32.97145876          z16
S34          16     33.96786690          z16
S36          16     35.96708076          z16

cl           17     35.453               z17
cl35         17     34.96885268          z17
cl37         17     36.96590259          z17
Cl           17     35.453               z17
Cl35         17     34.96885268          z17
Cl37         17     36.96590259          z17

ar           18     39.948               z18
ar36         18     35.967545106         z18
ar38         18     37.9627324           z18
ar40         18     39.9623831225        z18
Ar           18     39.948               z18
Ar36         18     35.967545106         z18
Ar38         18     37.9627324           z18
Ar40         18     39.9623831225        z18

k            19     39.0983              z19
k39          19     38.96370668          z19
k40          19     39.96399848          z19
k41          19     40.96182576          z19
K            19     39.0983              z19
K39          19     38.96370668          z19
K40          19     39.96399848          z19
K41          19     40.96182576          z19

ca           20     40.078               z20
ca40         20     39.96259098          z20
ca42         20     41.95861801          z20
ca43         20     42.9587666           z20
ca44         20     43.9554818           z20
ca46         20     45.9536926           z20
ca48         20     47.952534            z20
Ca           20     40.078               z20
Ca40         20     39.96259098          z20
Ca42         20     41.95861801          z20
Ca43         20     42.9587666           z20
Ca44         20     43.9554818           z20
Ca46         20     45.9536926           z20
Ca48         20     47.952534            z20

sc           21     44.955912            z21
sc45         21     44.9559119           z21
Sc           21     44.955912            z21
Sc45         21     44.9559119           z21

